iteration,a,b,new
1,1,0.5,0.6666666666666666
2,0.5,0.6666666666666666,0.8571428571428572
3,0.6666666666666666,0.8571428571428572,0.65625
4,0.8571428571428572,0.65625,0.6607669616519174
5,0.65625,0.6607669616519174,0.7592916637502625
6,0.6607669616519174,0.7592916637502625,0.7041962790210766
7,0.7592916637502625,0.7041962790210766,0.6832991039928532
8,0.7041962790210766,0.6832991039928532,0.7207231189683608
9,0.6832991039928532,0.7207231189683608,0.7122394386969934
10,0.7207231189683608,0.7122394386969934,0.6978549402080988
11,0.7122394386969934,0.6978549402080988,0.7091723894229537
12,0.6978549402080988,0.7091723894229537,0.710718248992518
13,0.7091723894229537,0.710718248992518,0.7042795923465985
14,0.710718248992518,0.7042795923465985,0.7067148590513935
15,0.7042795923465985,0.7067148590513935,0.7087200087918242
16,0.7067148590513935,0.7087200087918242,0.7064966553521177
17,0.7087200087918242,0.7064966553521177,0.7066055857990448
18,0.7064966553521177,0.7066055857990448,0.7076628787916754
19,0.7066055857990448,0.7076628787916754,0.7070793311433932
20,0.7076628787916754,0.7070793311433932,0.706842556175585
21,0.7070793311433932,0.706842556175585,0.7072526487981312
22,0.706842556175585,0.7072526487981312,0.7071659648393949
23,0.7072526487981312,0.7071659648393949,0.7070042704176902
24,0.7071659648393949,0.7070042704176902,0.707128445408277
25,0.7070042704176902,0.707128445408277,0.7071472067711265
